sample_name	plot	season	treatment	avg_setfa_mortality 
#q2:types	numeric	categorical	categorical	numeric
baseline_1	0	fall22	baseline	0.024
baseline_2	0	fall22	baseline	0.024
baseline_3	0	fall22	baseline	0.024
baseline_4	0	fall22	baseline	0.024
fallow_101_f23	101	fall23	fallow	0.7375
canola_1103_f23	1103	fall23	canola	0.6375
fallow_1112_f23	1112	fall23	fallow	0.753
canola_112_f23	112	fall23	canola	0.5695
canola_603_f23	603	fall23	canola	0.5495
fallow_607_f23	607	fall23	fallow	0.5185
canola_707_f23	707	fall23	canola	0.6745
fallow_709_f23	709	fall23	fallow	0.8025
fallow_101_s23	101	spring23	fallow	0.644
canola_1103_s23	1103	spring23	canola	0.424
fallow_1112_s23	1112	spring23	fallow	0.75
canola_112_s23	112	spring23	canola	0.3345
canola_603_s23	603	spring23	canola	0.4415
fallow_607_s23	607	spring23	fallow	0.496
canola_707_s23	707	spring23	canola	0.5025
fallow_709_s23	709	spring23	fallow	0.689